"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through November 2021",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2021,1,AK,Total Electric Power Industry,Coal (Short Tons),"60,230"
2021,1,AK,Total Electric Power Industry,Natural Gas (Mcf),"1,930,760"
2021,1,AK,Total Electric Power Industry,Petroleum (Barrels),"105,175"
2021,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"27,191"
2021,1,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,552"
2021,1,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"3,892"
2021,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),14
2021,1,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),16
2021,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"14,232"
2021,1,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,AK,"Electric Generators, Independent Power Producers",Petroleum (Barrels),222
2021,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"42,106"
2021,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,903,555"
2021,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"101,385"
2021,1,AL,Total Electric Power Industry,Coal (Short Tons),"1,144,362"
2021,1,AL,Total Electric Power Industry,Natural Gas (Mcf),"32,672,196"
2021,1,AL,Total Electric Power Industry,Other Gases (Billion Btu),1
2021,1,AL,Total Electric Power Industry,Petroleum (Barrels),"6,956"
2021,1,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),29
2021,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"815,576"
2021,1,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),1
2021,1,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),611
2021,1,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,764,029"
2021,1,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"16,329,736"
2021,1,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"6,281"
2021,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,144,333"
2021,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"12,762,855"
2021,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),64
2021,1,AR,Total Electric Power Industry,Coal (Short Tons),"1,368,623"
2021,1,AR,Total Electric Power Industry,Natural Gas (Mcf),"7,849,392"
2021,1,AR,Total Electric Power Industry,Petroleum (Barrels),"5,937"
2021,1,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),633
2021,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"122,012"
2021,1,AR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),2
2021,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"40,876"
2021,1,AR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"685,206"
2021,1,AR,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2021,1,AR,"Electric Generators, Independent Power Producers",Coal (Short Tons),"234,940"
2021,1,AR,"Electric Generators, Independent Power Producers",Petroleum (Barrels),286
2021,1,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,133,050"
2021,1,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"7,001,298"
2021,1,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,649"
2021,1,AZ,Total Electric Power Industry,Coal (Short Tons),"558,018"
2021,1,AZ,Total Electric Power Industry,Natural Gas (Mcf),"27,694,897"
2021,1,AZ,Total Electric Power Industry,Petroleum (Barrels),"5,812"
2021,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"49,356"
2021,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),3
2021,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),0
